symbol,rule,n_trades,gross_bps,t,hit_rate,cost_bps,net_bps,ratio,ann_net_pct,sharpe
USDJPY,h19_usd+_hivol,305,1.1249,1.47,0.4656,1.0688,0.0561,1.05,0.03,0.03
USDJPY,h19_usd-_hivol,305,-1.1249,-1.47,0.3705,1.0688,-2.1938,-1.05,-1.02,-1.12
USDJPY,h20_usd+_hivol,301,-1.0158,-1.58,0.4086,1.0688,-2.0847,-0.95,-0.96,-1.27
USDJPY,h20_usd-_hivol,301,1.0158,1.58,0.4684,1.0688,-0.053,0.95,-0.02,-0.03
USDJPY,h21_usd+_hivol,294,0.9629,1.62,0.4592,1.0688,-0.106,0.9,-0.05,-0.07
USDJPY,h21_usd-_hivol,294,-0.9629,-1.62,0.3707,1.0688,-2.0317,-0.9,-0.91,-1.34
USDJPY,h22_usd+_hivol,227,0.5788,0.59,0.4758,1.0688,-0.4901,0.54,-0.17,-0.2
USDJPY,h22_usd-_hivol,227,-0.5788,-0.59,0.3612,1.0688,-1.6476,-0.54,-0.57,-0.66
USDJPY,h23_usd+_hivol,47,2.0666,0.8,0.4043,1.0688,0.9978,1.93,0.07,0.15
USDJPY,h23_usd-_hivol,47,-2.0666,-0.8,0.4043,1.0688,-3.1354,-1.93,-0.23,-0.48
AUDUSD,h00_usd+_hivol,215,-0.1572,-0.15,0.386,2.5343,-2.6915,-0.06,-0.89,-1.0
AUDUSD,h00_usd-_hivol,215,0.1572,0.15,0.4093,2.5343,-2.3771,0.06,-0.78,-0.88
AUDUSD,h01_usd+_hivol,245,1.3804,1.38,0.4122,2.5343,-1.1538,0.54,-0.43,-0.45
AUDUSD,h01_usd-_hivol,245,-1.3804,-1.38,0.351,2.5343,-3.9147,-0.54,-1.47,-1.53
AUDUSD,h02_usd+_hivol,276,0.8011,0.95,0.4384,2.5343,-1.7331,0.32,-0.73,-0.8
AUDUSD,h02_usd-_hivol,276,-0.8011,-0.95,0.3877,2.5343,-3.3354,-0.32,-1.41,-1.54
AUDUSD,h03_usd+_hivol,276,-1.9903,-1.88,0.3732,2.5343,-4.5246,-0.79,-1.91,-1.67
AUDUSD,h03_usd-_hivol,276,1.9903,1.88,0.4638,2.5343,-0.544,0.79,-0.23,-0.2
AUDUSD,h04_usd+_hivol,271,-0.1562,-0.18,0.4317,2.5343,-2.6905,-0.06,-1.12,-1.2
AUDUSD,h04_usd-_hivol,271,0.1562,0.18,0.4207,2.5343,-2.3781,0.06,-0.99,-1.06
AUDUSD,h05_usd+_hivol,268,-0.289,-0.39,0.3806,2.5343,-2.8233,-0.11,-1.16,-1.48
AUDUSD,h05_usd-_hivol,268,0.289,0.39,0.4179,2.5343,-2.2453,0.11,-0.92,-1.18
AUDUSD,h06_usd+_hivol,266,0.368,0.44,0.4173,2.5343,-2.1663,0.15,-0.88,-1.01
AUDUSD,h06_usd-_hivol,266,-0.368,-0.44,0.4098,2.5343,-2.9022,-0.15,-1.18,-1.35
AUDUSD,h07_usd+_hivol,272,-2.2544,-3.03,0.3346,2.5343,-4.7887,-0.89,-1.99,-2.52
AUDUSD,h07_usd-_hivol,272,2.2544,3.03,0.5037,2.5343,-0.2798,0.89,-0.12,-0.15
AUDUSD,h08_usd+_hivol,274,-1.6478,-1.45,0.3577,2.5343,-4.1821,-0.65,-1.75,-1.44
AUDUSD,h08_usd-_hivol,274,1.6478,1.45,0.5036,2.5343,-0.8865,0.65,-0.37,-0.3
AUDUSD,h09_usd+_hivol,276,-0.3884,-0.36,0.4312,2.5343,-2.9227,-0.15,-1.23,-1.07
AUDUSD,h09_usd-_hivol,276,0.3884,0.36,0.4565,2.5343,-2.1458,0.15,-0.91,-0.79
AUDUSD,h10_usd+_hivol,274,1.1784,1.22,0.438,2.5343,-1.3559,0.46,-0.57,-0.55
AUDUSD,h10_usd-_hivol,274,-1.1784,-1.22,0.4051,2.5343,-3.7127,-0.46,-1.56,-1.5
AUDUSD,h11_usd+_hivol,276,-0.2446,-0.31,0.3406,2.5343,-2.7789,-0.1,-1.17,-1.37
