session,side,rng_pips,sweep_m,depth_pips,reclaim_min,entry_px,spread_pips,fade_outcome,fade_r,fade_minutes,fade_rr,cont_bps_60,cont_bps_120,symbol,mode,window,reclaimed,sweep_hour
2023-02-13,1,65.60000000000059,600,175.14999999999645,,,,,,,,14.934198556611552,7.808235793557843,USDJPY,lagged,A00-07/obs16,False,7
2023-02-14,1,104.49999999999875,600,250.05000000000166,,,,,,,,-5.5491814957303,7.3114215653188595,USDJPY,lagged,A00-07/obs16,False,7
2023-02-15,1,45.60000000000173,600,257.6999999999998,,,,,,,,-11.307151493439513,-11.866911468361755,USDJPY,lagged,A00-07/obs16,False,7
2023-02-19,1,58.799999999999386,600,199.45000000000164,,,,,,,,-6.783426077426456,2.5344668860734947,USDJPY,lagged,A00-07/obs16,False,7
2023-02-20,1,84.54999999999586,600,183.65000000000293,,,,,,,,12.937861089013603,17.213303690267576,USDJPY,lagged,A00-07/obs16,False,7
2023-02-21,1,52.85000000000082,600,83.00000000000125,,,,,,,,-8.716778872012226,10.756876054821625,USDJPY,lagged,A00-07/obs16,False,7
2023-02-22,1,74.35000000000116,600,6.14999999999668,14.0,134.8,0.6703999999999042,SL,-1.0,16.0,7.267326732675466,2.521441522950073,4.486682709955648,USDJPY,lagged,A00-07/obs16,True,7
2023-02-26,1,36.34999999999877,600,193.00000000000068,,,,,,,,-20.38623855565638,-3.6665896682844665,USDJPY,lagged,A00-07/obs16,False,7
2023-02-27,1,50.95000000000027,600,185.6500000000011,,,,,,,,30.69588337764698,25.708260749975793,USDJPY,lagged,A00-07/obs16,False,7
2023-02-28,1,25.550000000004047,600,145.99999999999795,,,,,,,,-27.39776269942994,-32.49587383091756,USDJPY,lagged,A00-07/obs16,False,7
2023-03-01,1,87.45000000000118,600,217.14999999999804,,,,,,,,2.6331380422619652,-32.62165463468644,USDJPY,lagged,A00-07/obs16,False,7
2023-03-05,-1,26.000000000001933,600,58.29999999999984,180.0,136.139,0.6842931937171224,OPEN,-0.28996865203761873,358.0,0.36833855799374876,-8.07391131232374,-22.009703440444024,USDJPY,lagged,A00-07/obs16,True,7
2023-03-06,-1,26.150000000001228,600,66.99999999999875,329.0,136.2255,0.6132596685082478,TP,0.3447552447552396,150.0,0.3447552447552396,13.83349766743596,17.91732277670551,USDJPY,lagged,A00-07/obs16,True,7
2023-03-07,1,69.29999999999836,600,94.25000000000239,451.0,136.74099999999999,0.6693820224717612,OPEN,-0.14833759590796483,87.0,0.7038363171355231,-13.621157471477296,-2.724231494297111,USDJPY,lagged,A00-07/obs16,True,7
2023-03-08,1,42.849999999998545,653,0.4500000000007276,1.0,136.76749999999998,0.5364130434782735,SL,-1.0,0.0,11.025974025965272,-34.32669951891519,-46.79251904601652,USDJPY,lagged,A00-07/obs16,True,7
2023-03-12,-1,34.64999999999918,600,354.6500000000009,,,,,,,,0.8549963383840463,48.21435873415817,USDJPY,lagged,A00-07/obs16,False,7
2023-03-13,-1,67.00000000000159,600,386.3999999999976,,,,,,,,-1.7979682958236558,-47.7959905307007,USDJPY,lagged,A00-07/obs16,False,7
2023-03-14,-1,65.29999999999916,600,438.70000000000005,,,,,,,,-17.71581164044079,-2.005563581937689,USDJPY,lagged,A00-07/obs16,False,7
2023-03-15,-1,115.949999999998,600,409.45000000000107,,,,,,,,-14.41177023950561,0.9407160730739691,USDJPY,lagged,A00-07/obs16,False,7
2023-03-19,-1,129.1499999999985,600,314.1999999999996,,,,,,,,-0.26686999618992935,16.355318337780165,USDJPY,lagged,A00-07/obs16,False,7
2023-03-20,-1,100.30000000000143,600,148.19999999999993,,,,,,,,-8.84505587949697,-33.74787414966025,USDJPY,lagged,A00-07/obs16,False,7
2023-03-21,-1,80.64999999999998,600,173.35000000000207,,,,,,,,-15.824876403560133,-4.418879568534623,USDJPY,lagged,A00-07/obs16,False,7
2023-03-22,-1,99.34999999999832,600,194.7499999999991,,,,,,,,-6.264563199512744,-20.24523473012833,USDJPY,lagged,A00-07/obs16,False,7
2023-03-23,-1,71.89999999999941,600,322.49999999999943,,,,,,,,16.40242663938028,32.99647041239801,USDJPY,lagged,A00-07/obs16,False,7
2023-03-26,-1,161.7999999999995,644,2.1500000000003183,1.0,131.0355,0.6741803278687518,SL,-1.0,2.0,28.812499999993815,-6.144006350078666,-25.0721252919372,USDJPY,lagged,A00-07/obs16,True,7
2023-03-27,-1,69.00000000000261,600,14.099999999999113,16.0,131.04250000000002,0.8167259786474295,SL,-1.0,164.0,3.810055865921072,-15.616826462313378,-12.829471127963007,USDJPY,lagged,A00-07/obs16,True,7
2023-03-28,-1,52.15000000000032,600,65.64999999999941,304.0,132.28300000000002,0.6624584717607594,OPEN,0.5840336134453185,234.0,0.6918767507002138,-3.7516058009674422,-3.2968657038825686,USDJPY,lagged,A00-07/obs16,True,7
2023-03-29,1,82.74999999999864,600,171.9500000000039,,,,,,,,8.389008132051064,22.635206626562418,USDJPY,lagged,A00-07/obs16,False,7
2023-03-30,1,88.49999999999909,600,265.300000000002,,,,,,,,5.633400808955502,19.529122804381352,USDJPY,lagged,A00-07/obs16,False,7
2023-04-02,1,82.04999999999814,600,235.84999999999923,,,,,,,,3.2576949000241875,-6.927282258666422,USDJPY,lagged,A00-07/obs16,False,7
2023-04-03,1,73.60000000000184,600,192.89999999999736,,,,,,,,-6.366091709391287,15.632710410632521,USDJPY,lagged,A00-07/obs16,False,7
2023-04-04,-1,110.64999999999827,933,0.9000000000014552,0.0,130.9535,0.6605597964377034,SL,-1.0,86.0,16.759689922477968,-9.507227784015017,-15.730834726964433,USDJPY,lagged,A00-07/obs16,True,12
2023-04-05,-1,48.05000000000064,600,136.29999999999995,,,,,,,,4.03156793762459,3.118760102692801,USDJPY,lagged,A00-07/obs16,False,7
2023-04-06,-1,82.15000000000146,600,116.19999999999777,,,,,,,,-0.5308016621678701,4.549728532864379,USDJPY,lagged,A00-07/obs16,False,7
2023-04-09,-1,93.64999999999952,600,82.40000000000123,291.0,132.84199999999998,0.8750000000001071,TP,1.0451170759566337,156.0,1.0451170759566337,31.12819912992138,30.86408107669549,USDJPY,lagged,A00-07/obs16,True,7
