cong cu,N,k,ts,ALL,FORM,OOS,n,thang%,net,t,nam+
GBPAUD,192,2.0,1.0,0.191,0.09,0.461,56,69.6,15.07,0.58,5/7
GBPAUD,192,2.0,2.0,0.239,0.143,0.483,55,69.1,18.05,0.72,5/7
GBPAUD,192,2.0,3.0,0.239,0.143,0.483,55,69.1,18.05,0.72,5/7
GBPCAD,12,1.5,1.0,0.552,0.563,0.541,531,65.3,3.68,1.74,7/7
GBPCAD,12,1.5,2.0,0.456,0.422,0.555,494,66.0,3.44,1.43,6/7
GBPCAD,12,1.5,3.0,0.459,0.437,0.53,484,66.7,3.56,1.44,7/7
GBPCAD,12,2.0,1.0,0.457,0.492,0.398,171,64.3,5.21,1.4,5/7
GBPCAD,12,2.0,2.0,0.446,0.445,0.466,167,67.1,5.55,1.37,5/7
GBPCAD,12,2.0,3.0,0.341,0.332,0.371,165,66.7,4.4,1.04,4/7
GBPCAD,24,1.5,1.0,0.509,0.833,-0.141,388,66.5,5.39,1.57,5/7
GBPCAD,24,1.5,2.0,0.512,0.879,-0.222,346,67.6,5.78,1.6,5/7
GBPCAD,24,1.5,3.0,0.487,0.873,-0.228,342,67.5,5.69,1.52,5/7
GBPCAD,24,2.0,1.0,0.323,0.398,0.183,220,65.5,4.54,0.97,5/7
GBPCAD,24,2.0,2.0,0.42,0.46,0.348,210,67.6,6.27,1.28,5/7
GBPCAD,24,2.0,3.0,0.367,0.437,0.249,209,67.9,5.79,1.12,4/7
GBPCAD,24,2.5,1.0,0.682,1.166,-0.128,84,66.7,13.79,2.11,6/7
GBPCAD,24,2.5,2.0,0.464,0.817,-0.09,81,69.1,11.49,1.42,5/7
GBPCAD,24,2.5,3.0,0.394,0.651,-0.064,81,69.1,10.38,1.2,5/7
GBPCAD,48,1.5,1.0,0.242,0.616,-0.457,231,65.4,4.15,0.75,4/7
GBPCAD,48,1.5,2.0,0.222,0.468,-0.247,208,64.9,4.32,0.69,4/7
GBPCAD,48,1.5,3.0,0.248,0.487,-0.213,207,64.7,4.65,0.77,4/7
GBPCAD,48,2.0,1.0,0.448,0.548,0.273,154,66.9,9.05,1.38,5/7
GBPCAD,48,2.0,2.0,0.393,0.381,0.445,147,66.0,9.12,1.21,5/7
GBPCAD,48,2.0,3.0,0.444,0.453,0.445,147,66.0,9.96,1.37,5/7
GBPCAD,48,2.5,1.0,0.486,0.909,-0.271,86,66.3,15.64,1.49,4/7
GBPCAD,48,2.5,2.0,0.514,0.747,0.021,85,65.9,17.28,1.58,5/7
GBPCAD,48,2.5,3.0,0.57,0.838,0.021,85,65.9,18.5,1.75,5/7
GBPCAD,96,1.5,1.0,0.399,0.529,0.127,130,70.0,12.25,1.23,3/7
GBPCAD,96,1.5,2.0,0.526,0.593,0.403,123,69.9,15.66,1.63,4/7
GBPCAD,96,1.5,3.0,0.526,0.593,0.403,123,69.9,15.66,1.63,4/7
GBPCAD,96,2.0,1.0,0.39,0.394,0.395,91,71.4,14.53,1.19,5/7
GBPCAD,96,2.0,2.0,0.545,0.532,0.607,87,72.4,19.35,1.68,5/7
GBPCAD,96,2.0,3.0,0.545,0.532,0.607,87,72.4,19.35,1.68,5/7
GBPCAD,96,2.5,1.0,0.557,0.691,0.309,54,74.1,25.41,1.73,5/7
GBPCAD,96,2.5,2.0,0.694,0.772,0.552,54,74.1,29.9,2.19,5/7
GBPCAD,96,2.5,3.0,0.694,0.772,0.552,54,74.1,29.9,2.19,5/7
GBPCAD,192,1.5,1.0,0.754,0.449,1.443,68,70.6,33.52,2.38,6/7
GBPCAD,192,1.5,2.0,0.679,0.365,1.443,66,71.2,32.73,2.13,6/7
GBPCAD,192,1.5,3.0,0.679,0.365,1.443,66,71.2,32.73,2.13,6/7
GBPCAD,192,2.0,1.0,0.793,0.569,1.225,54,74.1,40.0,2.54,6/7
GBPCAD,192,2.0,2.0,0.733,0.505,1.225,53,75.5,40.27,2.33,6/7
GBPCAD,192,2.0,3.0,0.733,0.505,1.225,53,75.5,40.27,2.33,6/7
EURGBP,12,1.5,1.0,0.399,0.389,0.45,533,64.5,2.37,1.25,6/7
EURGBP,12,1.5,2.0,0.429,0.489,0.312,494,66.4,2.71,1.35,5/7
EURGBP,12,1.5,3.0,0.318,0.366,0.222,485,66.2,2.13,1.0,5/7
EURGBP,12,2.0,1.0,0.465,0.983,-0.405,183,61.7,4.31,1.44,4/7
EURGBP,12,2.0,2.0,0.465,1.091,-0.507,177,65.5,4.59,1.44,3/7
EURGBP,12,2.0,3.0,0.441,1.098,-0.569,176,65.3,4.39,1.36,3/7
EURGBP,24,1.5,1.0,0.055,0.013,0.18,369,66.1,0.56,0.17,4/7
EURGBP,24,1.5,2.0,0.183,0.179,0.215,339,65.2,1.91,0.56,6/7
EURGBP,24,1.5,3.0,0.216,0.194,0.302,336,65.2,2.24,0.66,6/7
EURGBP,24,2.0,1.0,0.096,0.183,-0.15,208,66.3,1.67,0.3,5/7
EURGBP,24,2.0,2.0,0.161,0.357,-0.277,197,65.0,2.33,0.5,5/7
EURGBP,24,2.0,3.0,0.206,0.367,-0.167,197,65.0,2.93,0.63,5/7
EURGBP,24,2.5,1.0,-0.295,-0.046,-0.697,81,58.0,-6.62,-0.91,2/7
EURGBP,24,2.5,2.0,-0.284,-0.054,-0.689,79,57.0,-6.48,-0.87,3/7
EURGBP,24,2.5,3.0,-0.28,-0.062,-0.673,79,57.0,-6.36,-0.86,3/7
EURGBP,48,1.5,1.0,0.436,0.58,0.118,231,70.1,6.79,1.35,6/7
EURGBP,48,1.5,2.0,0.43,0.498,0.298,217,69.1,7.8,1.33,6/7
EURGBP,48,1.5,3.0,0.409,0.47,0.298,216,69.4,7.71,1.26,6/7
EURGBP,48,2.0,1.0,0.226,0.586,-0.74,152,66.4,4.67,0.69,3/7
EURGBP,48,2.0,2.0,0.229,0.415,-0.454,146,65.8,6.07,0.7,5/7
EURGBP,48,2.0,3.0,0.285,0.505,-0.454,146,65.8,6.96,0.88,5/7
EURGBP,48,2.5,1.0,0.249,0.498,-0.304,88,63.6,6.77,0.76,4/7
EURGBP,48,2.5,2.0,0.278,0.396,-0.044,84,63.1,9.15,0.85,5/7
EURGBP,48,2.5,3.0,0.238,0.337,-0.044,84,63.1,8.3,0.73,5/7
EURGBP,96,1.5,1.0,0.695,0.886,0.26,142,71.8,17.95,2.17,6/7
EURGBP,96,1.5,2.0,0.642,0.843,0.195,133,72.2,16.11,1.98,6/7
EURGBP,96,1.5,3.0,0.65,0.843,0.205,132,72.0,16.2,2.01,6/7
EURGBP,96,2.0,1.0,0.279,0.374,0.046,89,67.4,10.82,0.85,5/7
EURGBP,96,2.0,2.0,0.3,0.437,-0.015,84,67.9,11.07,0.92,5/7
EURGBP,96,2.0,3.0,0.301,0.437,-0.036,83,67.5,11.02,0.92,5/7
EURGBP,96,2.5,1.0,0.083,0.142,-0.108,51,66.7,5.41,0.25,5/7
EURGBP,192,1.5,1.0,0.879,0.828,1.139,83,77.1,30.03,2.79,7/7
EURGBP,192,1.5,2.0,0.872,0.76,1.32,79,77.2,29.7,2.78,7/7
EURGBP,192,1.5,3.0,0.872,0.76,1.32,79,77.2,29.7,2.78,7/7
EURGBP,192,2.0,1.0,0.695,0.578,1.206,52,76.9,33.0,2.19,6/7
EURGBP,192,2.0,2.0,0.67,0.526,1.206,50,76.0,31.24,2.11,6/7
EURGBP,192,2.0,3.0,0.67,0.526,1.206,50,76.0,31.24,2.11,6/7
GBPNZD,12,1.5,1.0,1.214,1.398,0.879,562,68.7,8.11,3.84,7/7
GBPNZD,12,1.5,2.0,1.192,1.445,0.741,528,69.3,8.54,3.76,6/7
GBPNZD,12,1.5,3.0,1.178,1.51,0.62,521,69.1,8.54,3.72,6/7
GBPNZD,12,2.0,1.0,0.91,1.268,0.229,148,67.6,11.7,2.85,6/7
GBPNZD,12,2.0,2.0,0.911,1.367,0.136,145,69.0,12.43,2.85,6/7
GBPNZD,12,2.0,3.0,0.91,1.371,0.127,145,69.0,12.47,2.85,6/7
GBPNZD,24,1.5,1.0,1.061,1.546,0.172,391,71.1,10.89,3.32,5/7
GBPNZD,24,1.5,2.0,1.047,1.568,0.059,362,71.8,11.65,3.27,4/7
GBPNZD,24,1.5,3.0,0.994,1.474,0.076,361,72.3,11.88,3.1,4/7
GBPNZD,24,2.0,1.0,0.66,1.064,-0.002,218,69.3,9.84,2.04,5/7
GBPNZD,24,2.0,2.0,0.732,1.148,0.034,207,70.5,11.63,2.27,5/7
GBPNZD,24,2.0,3.0,0.62,0.961,0.026,205,71.2,11.01,1.92,5/7
GBPNZD,24,2.5,1.0,0.524,1.109,-0.356,76,72.4,13.79,1.62,5/7
GBPNZD,24,2.5,2.0,0.399,0.77,-0.24,76,72.4,11.5,1.22,5/7
GBPNZD,24,2.5,3.0,0.335,0.82,-0.335,76,72.4,10.27,1.03,5/7
GBPNZD,48,1.5,1.0,0.758,1.043,0.175,240,71.2,14.44,2.37,6/7
GBPNZD,48,1.5,2.0,0.7,1.093,-0.033,219,72.6,15.1,2.19,5/7
GBPNZD,48,1.5,3.0,0.704,1.142,-0.05,217,72.8,15.31,2.2,5/7
GBPNZD,48,2.0,1.0,0.45,0.778,-0.175,147,68.0,11.22,1.39,5/7
GBPNZD,48,2.0,2.0,0.369,0.785,-0.296,137,68.6,10.19,1.13,5/7
GBPNZD,48,2.0,3.0,0.369,0.785,-0.29,137,68.6,10.24,1.14,5/7
GBPNZD,48,2.5,1.0,0.386,0.709,-0.162,78,67.9,14.1,1.18,5/7
GBPNZD,48,2.5,2.0,0.275,0.768,-0.379,76,68.4,11.03,0.84,4/7
GBPNZD,48,2.5,3.0,0.302,0.768,-0.343,76,68.4,11.89,0.92,4/7
GBPNZD,96,1.5,1.0,0.37,0.446,0.22,141,71.6,12.48,1.14,4/7
GBPNZD,96,1.5,2.0,0.332,0.388,0.22,130,71.5,12.4,1.02,4/7
GBPNZD,96,1.5,3.0,0.344,0.406,0.22,128,71.1,12.63,1.06,4/7
GBPNZD,96,2.0,1.0,0.54,0.593,0.45,95,70.5,22.82,1.66,6/7
GBPNZD,96,2.0,2.0,0.496,0.388,0.771,92,69.6,22.05,1.52,6/7
GBPNZD,96,2.0,3.0,0.515,0.413,0.771,92,69.6,22.59,1.58,6/7
GBPNZD,96,2.5,1.0,0.215,0.171,0.285,55,67.3,13.85,0.65,5/7
GBPNZD,96,2.5,2.0,0.208,0.045,0.55,54,66.7,14.09,0.63,6/7
GBPNZD,96,2.5,3.0,0.224,0.066,0.55,54,66.7,14.98,0.68,6/7
GBPNZD,192,1.5,1.0,0.52,0.284,1.146,81,66.7,27.14,1.59,6/7
