session,t_entry,symbol,side,sweep_side,asia_rng_pips,asia_rng_rel,depth_pips,depth_frac,wick_body,close_pos,sweep_hour,dow,h1_bias,aligned,sl_pips,tp_pips,rr,cost_pips,cost_r,outcome,r_gross,r_net,minutes
2023-09-28,2023-09-29 08:00:00,USDJPY,1,-1,74.8500000000007,1.9801587301588226,6.9500000000005,0.09285237140949144,0.837349397590151,0.7909090909093563,7,4,-1,False,11.650000000000205,73.15000000000111,6.2789699570815305,1.6163793345061856,0.13874500725374742,FLAT,5.699570815450678,5.560825808196931,720.0
2023-10-01,2023-10-02 15:15:00,USDJPY,-1,1,36.75000000000068,0.9722222222222765,4.250000000001819,0.11564625850344872,1.976744186047065,0.25210084033584546,15,0,1,False,8.200000000002206,35.80000000000041,4.365853658535461,1.5318006371917257,0.18680495575503825,FLAT,-0.3231707317072135,-0.5099756874622517,285.0
2023-10-02,2023-10-03 07:15:00,USDJPY,1,-1,21.89999999999941,0.5793650793650853,6.100000000003547,0.2785388127855576,15.249999999936051,0.7488789237667155,7,1,1,True,11.450000000002092,19.550000000000978,1.7074235807857996,1.5488905088506602,0.13527428024894125,TP,1.7074235807857996,1.5721493005368583,240.0
2023-10-03,2023-10-04 09:30:00,USDJPY,1,-1,23.550000000000182,0.6399456521739267,5.099999999998772,0.21656050955408632,2.0816326530616505,0.7328767123287778,9,2,-1,False,8.549999999999613,23.099999999999454,2.7017543859649704,1.5227199968446476,0.17809590606370954,SL,-1.0,-1.1780959060637095,90.0
2023-10-04,2023-10-05 08:15:00,USDJPY,-1,1,75.19999999999811,2.0787836903938626,7.749999999998636,0.10305851063828232,1.210937500000458,0.11111111111116959,8,3,-1,True,12.44999999999834,73.49999999999852,5.903614457831994,1.535110554527421,0.12330205257250007,FLAT,4.204819277109096,4.081517224536596,705.0
2023-10-09,2023-10-10 08:30:00,USDJPY,-1,1,76.85000000000173,2.1785967399008266,7.900000000000773,0.10279765777489389,1.215384615384777,0.021008403361320455,8,1,1,False,14.700000000001978,73.05000000000064,4.969387755101415,1.567222907576893,0.106613803236509,SL,-1.0,-1.106613803236509,150.0
2023-10-10,2023-10-11 12:45:00,USDJPY,-1,1,54.30000000000064,1.5393338058114978,11.700000000001864,0.21546961325970032,2.72093023255817,0.23880597014923685,12,2,1,False,18.250000000003297,50.74999999999932,2.7808219178076796,1.5803870568867964,0.08659655106227457,SL,-1.0,-1.0865965510622746,120.0
2023-10-12,2023-10-13 13:30:00,USDJPY,1,-1,25.549999999998363,0.7575982209043309,5.000000000001137,0.19569471624271847,0.7518796992480753,0.8592233009709033,13,4,1,True,11.750000000000682,21.79999999999893,1.8553191489359715,1.5728770128267708,0.13386187343205783,SL,-1.0,-1.1338618734320578,315.0
2023-10-15,2023-10-16 07:15:00,USDJPY,-1,1,21.100000000001273,0.6630007855459816,2.750000000000341,0.13033175355451068,2.5000000000077516,0.10714285714334655,7,0,1,False,7.999999999998408,18.85000000000332,2.356250000000884,1.553017121731647,0.19412714021649452,SL,-1.0,-1.1941271402164946,390.0
2023-10-17,2023-10-18 15:00:00,USDJPY,-1,1,30.799999999999272,1.0387858347385617,9.399999999999409,0.3051948051947932,1.7407407407405653,0.22556390977447627,14,2,1,False,13.249999999999318,29.949999999999477,2.260377358490643,1.5475251163450578,0.1167943484034066,SL,-1.0,-1.1167943484034066,255.0
