tf,họ,công cụ,N,k,ts,ALL,FORM,OOS,n,thắng%,net,t,năm+
H1,gap_fade,CADJPY,14,0.3,96,-0.467,-0.357,-0.667,703,52.1,-4.82,-1.43,3/7
H1,gap_fade,CADJPY,14,0.5,24,-0.136,-0.46,0.447,515,49.9,-1.29,-0.42,5/7
H1,gap_fade,CADJPY,14,0.5,96,-0.533,-0.617,-0.386,380,49.7,-9.26,-1.64,3/7
H1,gap_fade,CADJPY,14,0.8,24,-0.229,-0.956,0.692,184,44.6,-3.81,-0.7,3/7
H1,gap_fade,CADJPY,14,0.8,96,-0.122,-0.316,0.14,156,53.2,-3.7,-0.37,4/7
H1,gap_fade,CADJPY,24,0.3,24,-0.142,-0.179,-0.08,903,50.5,-0.9,-0.44,4/7
H1,gap_fade,CADJPY,24,0.3,96,-0.459,-0.323,-0.708,687,51.8,-4.85,-1.41,3/7
H1,gap_fade,CADJPY,24,0.5,24,-0.017,-0.435,0.757,510,51.4,-0.16,-0.05,5/7
H1,gap_fade,CADJPY,24,0.5,96,-0.442,-0.573,-0.217,390,50.3,-7.46,-1.36,3/7
H1,gap_fade,CADJPY,24,0.8,24,-0.294,-1.037,0.662,189,42.9,-4.79,-0.9,3/7
H1,gap_fade,CADJPY,24,0.8,96,-0.191,-0.402,0.097,162,52.5,-5.47,-0.59,4/7
H1,gap_fade,CADJPY,48,0.3,24,-0.05,-0.037,-0.072,896,50.6,-0.32,-0.15,4/7
H1,gap_fade,CADJPY,48,0.3,96,-0.483,-0.335,-0.76,685,51.8,-5.09,-1.49,3/7
H1,gap_fade,CADJPY,48,0.5,24,0.039,-0.195,0.438,511,51.7,0.37,0.12,4/7
H1,gap_fade,CADJPY,48,0.5,96,-0.288,-0.253,-0.35,393,51.7,-4.8,-0.88,3/7
H1,gap_fade,CADJPY,48,0.8,24,-0.261,-0.756,0.387,193,43.0,-4.24,-0.8,2/7
H1,gap_fade,CADJPY,48,0.8,96,-0.416,-0.444,-0.384,163,49.7,-12.4,-1.28,4/7
H1,gap_fade,EURUSD,14,0.3,24,0.089,-0.252,0.62,586,49.1,0.44,0.27,4/7
H1,gap_fade,EURUSD,14,0.3,96,-0.445,-0.75,0.092,452,46.9,-4.99,-1.37,2/7
H1,gap_fade,EURUSD,14,0.5,24,0.342,0.219,0.508,291,52.2,2.54,1.05,4/7
H1,gap_fade,EURUSD,14,0.5,96,-0.178,0.174,-0.712,242,47.1,-3.11,-0.55,3/7
H1,gap_fade,EURUSD,14,0.8,24,0.243,-0.004,0.512,127,48.8,2.85,0.74,4/7
H1,gap_fade,EURUSD,14,0.8,96,0.073,0.386,-0.299,116,46.6,1.97,0.22,3/7
H1,gap_fade,EURUSD,24,0.3,24,0.226,-0.163,0.806,575,49.2,1.15,0.69,4/7
H1,gap_fade,EURUSD,24,0.3,96,-0.293,-0.632,0.323,447,47.9,-3.28,-0.9,3/7
H1,gap_fade,EURUSD,24,0.5,24,0.051,-0.047,0.189,288,50.0,0.38,0.16,4/7
H1,gap_fade,EURUSD,24,0.5,96,-0.29,-0.082,-0.612,237,45.1,-5.15,-0.89,2/7
H1,gap_fade,EURUSD,24,0.8,24,0.261,0.035,0.506,123,48.8,3.15,0.8,4/7
H1,gap_fade,EURUSD,24,0.8,96,0.128,0.41,-0.216,113,47.8,3.62,0.39,4/7
H1,gap_fade,EURUSD,48,0.3,24,0.26,-0.021,0.663,560,48.8,1.38,0.8,5/7
H1,gap_fade,EURUSD,48,0.3,96,-0.37,-0.602,0.047,437,46.5,-4.2,-1.14,2/7
H1,gap_fade,EURUSD,48,0.5,24,0.004,-0.106,0.155,280,49.3,0.03,0.01,4/7
H1,gap_fade,EURUSD,48,0.5,96,-0.32,-0.102,-0.658,230,45.7,-5.83,-0.98,2/7
H1,gap_fade,EURUSD,48,0.8,24,0.321,0.213,0.446,121,50.4,3.87,0.98,5/7
H1,gap_fade,EURUSD,48,0.8,96,0.269,0.616,-0.147,112,50.0,7.59,0.82,5/7
H1,gap_fade,GBPUSD,14,0.3,24,0.339,0.079,0.782,574,51.0,1.96,1.04,5/7
H1,gap_fade,GBPUSD,14,0.3,96,0.308,0.304,0.342,472,51.3,4.08,0.95,5/7
H1,gap_fade,GBPUSD,14,0.5,24,0.382,0.155,0.744,303,50.8,3.36,1.18,5/7
