cong cu,N,k,thoat,ALL,FORM,OOS,n,thang%,net,t
EURJPY,24,2.0,time_only,-0.444,-0.591,-0.17,209,45.9,-9.59,-1.36
EURJPY,24,2.0,time_only_2x,-0.291,-0.535,0.092,164,56.1,-9.81,-0.88
EURJPY,24,2.5,time_only,0.111,0.343,-0.337,76,53.9,4.68,0.33
EURJPY,24,2.5,time_only_2x,0.052,0.292,-0.33,68,52.9,3.36,0.15
EURJPY,48,1.5,time_only,0.365,0.467,0.188,210,56.2,10.78,1.12
EURJPY,48,1.5,time_only_2x,0.286,0.389,0.123,158,60.1,11.52,0.88
EURJPY,48,2.0,time_only,-0.133,0.002,-0.369,143,51.7,-5.07,-0.41
EURJPY,48,2.0,time_only_2x,-0.045,0.143,-0.318,113,54.0,-2.47,-0.14
EURJPY,48,2.5,time_only,-0.125,0.039,-0.366,69,50.7,-7.6,-0.38
EURJPY,48,2.5,time_only_2x,-0.007,0.328,-0.45,60,50.0,-0.59,-0.02
EURJPY,96,1.5,time_only,-0.041,0.142,-0.372,108,53.7,-2.15,-0.13
EURJPY,96,1.5,time_only_2x,0.041,0.201,-0.214,85,61.2,2.74,0.13
EURJPY,96,2.0,time_only,-0.212,-0.039,-0.515,78,50.0,-13.69,-0.64
EURJPY,96,2.0,time_only_2x,0.089,0.515,-0.669,63,55.6,7.82,0.27
EURJPY,96,2.5,time_only,0.363,0.639,-0.364,53,54.7,32.9,1.1
EURJPY,96,2.5,time_only_2x,0.688,0.936,0.154,48,62.5,90.99,2.14
